groupings,runs,chainLength,dataIncluded,seed,PS_logLik,SS_logLik,
allESU1,run1,short,all,27031982,-17428.4860288788,-17429.0765797386,0.5905508598
allESU1,run2,short,all,1386964542311,-17424.8883613908,-17426.0273344058,1.138973015
allESU1,run1,long,all,1388076973692,-17428.6000181221,-17429.0835847886,0.4835666665
allESU1,run2,long,all,27031982,-17428.9169296544,-17429.7594983184,0.842568664
allESU1,run2,long,noCOI,4031983,-15113.2785711616,-15113.6201821796,0.341611018
allESU1,run1,long,noCOI,27031982,-15113.4138957345,-15113.5437462859,0.1298505514
noHawaii,run1,short,all,19820327,-17436.3013956753,-17437.4489683307,1.1475726554
noHawaii,run2,short,all,27031982,-17434.0688786563,-17435.1628259693,1.093947313
noHawaii,run1,long,all,1388498335350,-17433.8107311862,-17434.353596028,0.5428648418
noHawaii,run2X,long,all,1390862668451,-17432.0231549064,-17414.8455256187,17.1776292877
noHawaii,run3,long,all,1398104331532,-17434.8083328234,-17435.2460866347,0.4377538113
noHawaii,run1,long,noCOI,1397669000728,-15118.3902161752,-15119.0370935006,0.6468773254
noHawaii,run2,long,noCOI,1397669008128,-15116.1830514264,-15116.3073546265,0.1243032001
allESU1,run1,short,noMt,19820327,-8842.2594685534,-8842.5663356984,0.306867145
allESU1,run2,short,noMt,19830304,-8840.7496143291,-8841.3719174651,0.622303136
noHawaii,run1,short,noMt,1384927555441,-8842.799332762,-8843.3769874306,0.5776546686
noHawaii,run2,short,noMt,1385396842793,-8840.0731100374,-8840.7190472965,0.6459372591
noRedSea,run1,short,noMt,19820327,-8843.960765644,-8844.5444894033,0.5837237593
noRedSea,run2,short,noMt,19830304,-8843.7329186523,-8844.250453763,0.5175351107
noWpacHawaiiRedSea,run1,short,noMt,1385397066741,-8841.6574707769,-8841.9441452978,0.2866745209
noWpacHawaiiRedSea,run2,short,noMt,1385397211567,-8839.5944873926,-8839.7891922635,0.1947048709
noWpac,run1,short,noMt,1384927451670,-8839.661115965,-8840.0107212036,0.3496052386
noWpac,run2,short,noMt,1385396926323,-8840.5093681123,-8841.1004969215,0.5911288092
noRedSea,run1,short,all,19820327,-17437.0501649734,-17438.2709127122,1.2207477388
noRedSea,run2,short,all,27031982,-17444.3068409001,-17445.5325778734,1.2257369733
noRedSea,run1,long,all,1388498410361,-17440.12863093,-17441.1737242109,1.0450932809
noRedSea,run2,long,all,1388498428141,-17441.4074344352,-17441.6807210059,0.2732865707
noRedSea,run3X,long,all,1389022977109,-17440.6538200732,-17441.7295596468,1.0757395736
noRedSea,run1,long,noCOI,1398111308960,-15124.2427755286,-15124.8636209627,0.620845434
noRedSea,run2,long,noCOI,1398111308958,-15121.5191678315,-15122.2459624301,0.7267945986
noWpac,run1,short,all,19830304,-17430.9777700742,-17431.7545896594,0.7768195852
noWpac,run2,short,all,1386964542189,-17432.0565024314,-17433.0959168254,1.039414394
noWpac,run1,long,all,1388498466720,-17434.0567505554,-17434.4279128262,0.3711622708
noWpac,run2,long,all,1388498492600,-17434.4547239722,-17434.9578819618,0.5031579896
noWpac,run1,long,noCOI,1397668940749,-15119.1690765654,-15114.6051452913,4.5639312741
noWpac,run2,long,noCOI,1397668940892,-15117.7374986874,-15118.0694043386,0.3319056511
noWpac,run3X,long,noCOI,1398104043691,-15117.3646168627,-15112.6219636336,-4.742653229
noWpacHawaii,run1,short,all,19830304,-17446.2871088634,-17447.1827118985,0.8956030351
noWpacHawaii,run2,short,all,1386964542311,-17438.4609771291,-17439.0010127054,0.5400355763
noWpacHawaii,run1,long,all,1388498525633,-17443.4882809475,-17443.9421445952,0.4538636477
noWpacHawaii,run2,long,all,1388498545555,-17444.4735893826,-17444.7473420671,0.2737526845
noWpacRedSeaHawaii,run1,short,all,19830304,-17456.4148022377,-17457.2525018113,0.8376995736
noWpacRedSeaHawaii,run2,short,all,1386964528068,-17452.520587761,-17453.2026301265,0.6820423655
noWpacRedSeaHawaii,run1,long,all,1388498645408,-17454.0743792464,-17454.4473100911,0.3729308447
noWpacRedSeaHawaii,run2,long,all,1388498610143,-17452.741048404,-17452.7880691692,0.0470207652
noWpacRedSea,run1,short,all,27031982,-17445.3155294272,-17446.1281035368,0.8125741096
noWpacRedSea,run2,short,all,1386964528253,-17443.0847703752,-17443.7324966328,0.6477262576
noWpacRedSea,run1,long,all,1388498709949,-17445.9296525702,-17446.0142511756,0.0845986054
noWpacRedSea,run2,long,all,1388498726115,-17450.1419497855,-17451.0748988353,0.9329490498
random,run1,short,all,27031982,-17551.5420801292,-17551.9561621795,0.4140820503
random,run2,short,all,1386964514533,-17550.4772918098,-17550.4180411815,0.0592506283
random,run1,long,all,NA,NA,NA,#VALUE!
random,run2,long,all,NA,NA,NA,#VALUE!
